year,state,avg_download_mbps
2019,Australian Capital Territory,36.10835653742549
2019,New South Wales,36.39447478189414
2019,Northern Territory,33.306247457203625
2019,Queensland,36.731231720935824
2019,South Australia,34.46244009018478
2019,Tasmania,29.079105297307315
2019,Victoria,37.89539984455993
2019,Western Australia,33.27021591343133
2020,Australian Capital Territory,44.897182129229236
2020,New South Wales,44.86723164657978
2020,Northern Territory,41.375787710003756
2020,Queensland,44.756070001801994
2020,South Australia,40.02052399383051
2020,Tasmania,36.53549834672437
2020,Victoria,45.7434435845488
2020,Western Australia,40.28545460377508
2021,Australian Capital Territory,71.81809456946348
2021,New South Wales,75.79529170998896
2021,Northern Territory,69.20201855470769
2021,Queensland,71.79174236930368
2021,South Australia,67.10566568179269
2021,Tasmania,63.130201656268284
2021,Victoria,76.87139889835225
2021,Western Australia,60.625516968863735
2022,Australian Capital Territory,70.7467838840268
2022,New South Wales,75.20166078681709
2022,Northern Territory,69.35207009776299
2022,Queensland,71.7092722526665
2022,South Australia,64.78034386545019
2022,Tasmania,63.573140312340094
2022,Victoria,77.67273354808503
2022,Western Australia,62.19713448846264
2023,Australian Capital Territory,81.55699885138037
2023,New South Wales,89.36525324398927
2023,Northern Territory,93.6844063070574
2023,Queensland,87.34631263532134
2023,South Australia,78.95951531192202
2023,Tasmania,72.23299240507309
2023,Victoria,93.02372071640397
2023,Western Australia,78.08189639238273
2024,Australian Capital Territory,109.56998045793222
2024,New South Wales,121.313213321283
2024,Northern Territory,115.93405044456686
2024,Queensland,122.7930109688323
2024,South Australia,109.15636578992186
2024,Tasmania,101.92948064816113
2024,Victoria,130.64499859980813
2024,Western Australia,115.18399700092735
