iso3,country,year,avg_download_mbps,gdp_pc_usd
ALB,Albania,2017,11.48,4614.0479692596
ARE,United Arab Emirates,2017,25.13,42340.5917160161
ARG,Argentina,2017,14.98,14532.5009308511
ARM,Armenia,2017,24.61,3869.05373867752
AUS,Australia,2017,25.52,53901.7145392154
AUT,Austria,2017,29.5,47163.7425775142
AZE,Azerbaijan,2017,10.2,4147.1981423222
BEL,Belgium,2017,53.95,44035.3239358548
BGD,Bangladesh,2017,16.68,1811.08221668646
BGR,Bulgaria,2017,43.11,8696.68930427924
BHR,Bahrain,2017,16.18,24784.7693514607
BHS,Bahamas,2017,23.76,31875.4881749619
BIH,Bosnia and Herzegovina,2017,18.6,5345.01985489192
BLR,Belarus,2017,26.32,5785.54491935194
BLZ,Belize,2017,7.62,6072.58267640581
BMU,Bermuda,2017,18.39,112339.425587467
BOL,Bolivia,2017,5.07,3306.30301224425
BRA,Brazil,2017,17.26,10080.5092819305
BRB,Barbados,2017,45.02,19692.7606711615
BRN,Brunei,2017,14.72,28024.3824618568
CAN,Canada,2017,63.72,45129.628116623
CHE,Switzerland,2017,76.84,82254.3770471336
CHL,Chile,2017,31.0,14879.9086227187
CHN,China,2017,57.03,8979.67652709856
CIV,Côte d'Ivoire,2017,6.94,1964.29930338343
COL,Colombia,2017,10.63,6479.53231292429
CRI,Costa Rica,2017,8.03,12317.0902771322
CUW,Curaçao,2017,18.87,18938.2440469703
CYP,Cyprus,2017,16.76,26696.990234375
CZE,Czechia,2017,34.63,20913.197632212
DEU,Germany,2017,50.02,45526.5999576533
DNK,Denmark,2017,69.92,57521.5514992225
DOM,Dominican Republic,2017,13.07,7412.71571571512
DZA,Algeria,2017,3.98,4554.66753957828
ECU,Ecuador,2017,10.02,6233.32244797718
EGY,Egypt,2017,5.28,2395.10333299491
ESP,Spain,2017,61.92,28381.3425596906
EST,Estonia,2017,35.66,20851.5223496861
FIN,Finland,2017,39.1,46085.0174739036
FRA,France,2017,60.83,38687.1626407164
GBR,United Kingdom,2017,49.85,40629.2340347345
GEO,Georgia,2017,17.76,4418.75206546679
GHA,Ghana,2017,15.6,2012.28662641265
GRC,Greece,2017,13.77,18631.9930129293
GTM,Guatemala,2017,8.86,4324.99608157801
GUM,Guam,2017,24.89,36779.0078903909
GUY,Guyana,2017,7.73,6178.6650437298
HKG,Hong Kong (SAR),2017,145.17,46160.429791493
HND,Honduras,2017,6.24,2413.0076562942
HRV,Croatia,2017,22.54,13902.6310485422
HUN,Hungary,2017,73.66,14736.1668157258
IDN,Indonesia,2017,13.2,3798.88326174526
IND,India,2017,18.33,1950.10468280866
IRL,Ireland,2017,38.43,72198.1076995377
IRN,Iran,2017,9.94,5753.11544659399
IRQ,Iraq,2017,7.28,4759.2846435467
ISL,Iceland,2017,127.11,72010.1490316258
ISR,Israel,2017,41.22,41138.470964272
ITA,Italy,2017,26.89,32844.115660604
JAM,Jamaica,2017,20.28,5259.31332766957
JOR,Jordan,2017,14.15,4065.61628749384
JPN,Japan,2017,69.87,38834.0529341227
KAZ,Kazakhstan,2017,26.19,8943.08416791984
KEN,Kenya,2017,15.18,1667.48447230835
KGZ,Kyrgyzstan,2017,16.22,1221.39046807082
KHM,Cambodia,2017,10.9,1826.35391688754
KOR,South Korea,2017,121.49,31600.7358741365
KWT,Kuwait,2017,14.65,29047.6535822842
LAO,Laos,2017,8.74,2432.43059478511
LBN,Lebanon,2017,4.45,8608.21084982387
LBY,Libya,2017,3.45,9965.83236729757
LKA,Sri Lanka,2017,19.18,4398.88828068715
LTU,Lithuania,2017,72.46,16800.1510246099
LUX,Luxembourg,2017,59.96,110193.213797228
LVA,Latvia,2017,46.73,15132.4958333982
MAC,Macau (SAR),2017,87.63,77704.9215312666
MAR,Morocco,2017,12.51,3296.52661132813
MDA,Moldova,2017,39.76,3453.26727720294
MDV,Maldives,2017,11.86,10509.628805812
MEX,Mexico,2017,19.2,9649.27816772402
MKD,North Macedonia,2017,21.38,5955.2973863451
MLT,Malta,2017,41.6,30317.2443357939
MMR,Myanmar (Burma),2017,8.39,1272.82241830603
MNE,Montenegro,2017,20.28,7758.36921956034
MNG,Mongolia,2017,20.01,3645.96708669551
MUS,Mauritius,2017,13.4,10841.6847754844
MYS,Malaysia,2017,20.74,9862.54806612235
NAM,Namibia,2017,10.17,5143.96072323076
NGA,Nigeria,2017,9.13,1876.34027111773
NIC,Nicaragua,2017,5.62,2182.61380995674
NLD,Netherlands,2017,71.95,49513.6817346384
NOR,Norway,2017,67.8,76131.8384032764
NPL,Nepal,2017,13.32,1034.28374906846
NZL,New Zealand,2017,64.32,42950.3841711138
OMN,Oman,2017,14.0,17820.0661809335
PAK,Pakistan,2017,6.05,1519.23459514248
PAN,Panama,2017,29.32,15694.6297454295
PER,Peru,2017,14.18,6736.16693725487
PHL,Philippines,2017,13.41,3038.12124959289
POL,Poland,2017,38.75,13913.3415190124
PRI,Puerto Rico,2017,31.06,30328.4871132804
PRT,Portugal,2017,48.52,21442.3842768879
PRY,Paraguay,2017,7.67,6152.26711537703
PSE,Palestine,2017,9.43,3620.36048715937
QAT,Qatar,2017,28.26,63279.8556949332
ROU,Romania,2017,98.39,10727.9822007426
RUS,Russia,2017,36.77,10658.9130859375
SAU,Saudi Arabia,2017,16.28,23929.2907135982
SGP,Singapore,2017,156.67,61236.251270627
SLV,El Salvador,2017,6.82,4020.12671373919
SRB,Serbia,2017,23.78,6548.03653824187
SVK,Slovakia,2017,37.9,17645.5298716761
SVN,Slovenia,2017,33.05,23303.077705959
SWE,Sweden,2017,78.1,53300.8587281785
SYR,Syria,2017,6.47,851.502005254153
THA,Thailand,2017,37.45,6413.09182530343
TTO,Trinidad and Tobago,2017,35.02,17578.6417765865
TUN,Tunisia,2017,6.43,3619.03247319953
TUR,Türkiye,2017,15.55,10695.550196231
TZA,Tanzania,2017,8.76,986.674011230469
UGA,Uganda,2017,6.7,765.218332297361
UKR,Ukraine,2017,35.42,2604.28759765625
URY,Uruguay,2017,20.97,19184.6502617082
USA,United States,2017,74.99,60047.7190728307
UZB,Uzbekistan,2017,5.78,2190.60411562888
